case_key,task,bucket,id,text,aspect,gold_aspects,gold_polarity,reference_prediction,configuration_predictions,error_persistence,configuration_count,fold,supporting_text,assessment,rationale,proposed_label,needs_user_adjudication,previous_assessment,review_revision,review_status
aspect:3,aspect,aspect_multi_misc,3,"The staff isn't the friendliest or most competent, and I am stickler for service, but everything else about this place makes up for it.",,"[""service"", ""anecdotes/miscellaneous""]",,"[""service""]","{""reference"": [""service""], ""sampling-control"": [""service""], ""targeted-2x"": [""service""], ""targeted-3x"": [""service""], ""targeted-4x"": [""service""]}",5,5,1,everything else about this place makes up for it,clear model error,The sentence explicitly adds a restaurant-level judgment beyond service.,,False,clear model error,2,provisional assistant judgment
aspect:39,aspect,aspect_multi_misc,39,When we were finally seated our waitress came by twice-1 for our order and 2-for our check.,,"[""service"", ""anecdotes/miscellaneous""]",,"[""service""]","{""reference"": [""service""], ""sampling-control"": [""service""], ""targeted-2x"": [""service""], ""targeted-3x"": [""service""], ""targeted-4x"": [""service""]}",5,5,3,waitress came by twice,ambiguous annotation,Service is explicit. Whether the personal account also receives anecdotes/miscellaneous depends on the annotation convention; absence of an overall judgment alone cannot invalidate that label.,,True,suspected annotation error,2,provisional assistant judgment
aspect:246,aspect,aspect_multi_misc,246,Yeah Shanghai is also great but not quite as good -- they use the same amount of salt but without sweetness to balance out.,,"[""food"", ""anecdotes/miscellaneous""]",,"[""food""]","{""reference"": [""food""], ""sampling-control"": [""food""], ""targeted-2x"": [""food""], ""targeted-3x"": [""food""], ""targeted-4x"": [""food""]}",5,5,1,great but not quite as good,ambiguous annotation,The comparison can be read as food-specific or as a broader comparison between restaurants.,,True,ambiguous annotation,2,provisional assistant judgment
aspect:259,aspect,aspect_multi_misc,259,This is my first time writing a review for a restaurant because the food and service was excellent.,,"[""food"", ""service"", ""anecdotes/miscellaneous""]",,"[""food"", ""service""]","{""reference"": [""food"", ""service""], ""sampling-control"": [""food"", ""service""], ""targeted-2x"": [""food"", ""service""], ""targeted-3x"": [""food"", ""service""], ""targeted-4x"": [""food"", ""service""]}",5,5,5,food and service was excellent,ambiguous annotation,"Food and service are evaluated, but the first-time-review statement may qualify as an anecdote. A separate overall opinion is not an established requirement for this category.",,True,suspected annotation error,2,provisional assistant judgment
aspect:510,aspect,aspect_multi_misc,510,"Overall I was impressed and will return, it's a great QPR (Quality to Price Ratio).",,"[""price"", ""anecdotes/miscellaneous""]",,"[""food"", ""price""]","{""reference"": [""food"", ""price""], ""sampling-control"": [""price""], ""targeted-2x"": [""food"", ""price""], ""targeted-3x"": [""food"", ""price""], ""targeted-4x"": [""price""]}",5,5,3,Overall I was impressed and will return,clear model error,"The overall recommendation clearly supports miscellaneous, and no food evidence appears.",,False,clear model error,2,provisional assistant judgment
aspect:512,aspect,aspect_multi_misc,512,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",,"[""service"", ""anecdotes/miscellaneous""]",,"[""service""]","{""reference"": [""service""], ""sampling-control"": [""service""], ""targeted-2x"": [""service""], ""targeted-3x"": [""service""], ""targeted-4x"": [""service""]}",5,5,2,maitre d' was pretty rude,ambiguous annotation,Service is explicit and the Mother's Day visit is an anecdote; the category's scope is needed before removing miscellaneous.,,True,suspected annotation error,2,provisional assistant judgment
aspect:541,aspect,aspect_multi_misc,541,"I plan to come here again and look forward to trying their assortment of bruschetta, panini's.....",,"[""food"", ""anecdotes/miscellaneous""]",,"[""food""]","{""reference"": [""food""], ""sampling-control"": [""food""], ""targeted-2x"": [""food""], ""targeted-3x"": [""food""], ""targeted-4x"": [""food""]}",5,5,2,plan to come here again and look forward,clear model error,The return intention is explicit restaurant-level evidence in addition to the named foods.,,False,clear model error,2,provisional assistant judgment
aspect:703,aspect,aspect_multi_misc,703,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",,"[""service"", ""anecdotes/miscellaneous""]",,"[""service"", ""ambience""]","{""reference"": [""service"", ""ambience""], ""sampling-control"": [""service"", ""ambience""], ""targeted-2x"": [""service"", ""ambience""], ""targeted-3x"": [""service"", ""ambience""], ""targeted-4x"": [""service""]}",5,5,2,overall the restaurant is a must,clear model error,The overall recommendation explicitly supports miscellaneous; ambience has no textual support.,,False,clear model error,2,provisional assistant judgment
aspect:834,aspect,aspect_multi_misc,834,A bit breezy up there on the mezzanine from the wind coming from the tracks.,,"[""ambience"", ""anecdotes/miscellaneous""]",,"[""ambience""]","{""reference"": [""ambience""], ""sampling-control"": [""ambience""], ""targeted-2x"": [""ambience""], ""targeted-3x"": [""ambience""], ""targeted-4x"": [""ambience""]}",5,5,2,breezy up there on the mezzanine,ambiguous annotation,Ambience is explicit. Whether the situational description also counts as miscellaneous cannot be settled without category guidance.,,True,suspected annotation error,2,provisional assistant judgment
aspect:1071,aspect,aspect_multi_misc,1071,A little pricey but it really hits the spot on a Sunday morning!,,"[""price"", ""anecdotes/miscellaneous""]",,"[""price""]","{""reference"": [""price""], ""sampling-control"": [""price""], ""targeted-2x"": [""price""], ""targeted-3x"": [""price""], ""targeted-4x"": [""price""]}",5,5,5,really hits the spot,ambiguous annotation,Hits the spot may evaluate food satisfaction or the restaurant overall; the target of it is unresolved.,,True,clear model error,2,provisional assistant judgment
aspect:1215,aspect,aspect_multi_misc,1215,"Great bagels, spreads and a good place to hang out in.",,"[""food"", ""anecdotes/miscellaneous""]",,"[""food"", ""ambience""]","{""reference"": [""food"", ""ambience""], ""sampling-control"": [""food"", ""ambience""], ""targeted-2x"": [""food""], ""targeted-3x"": [""food"", ""ambience""], ""targeted-4x"": [""food"", ""ambience""]}",5,5,3,good place to hang out,ambiguous annotation,"The phrase can denote ambience or a broad judgment, so both gold and prediction are defensible.",,True,ambiguous annotation,2,provisional assistant judgment
aspect:1346,aspect,aspect_multi_misc,1346,"Overall, the ingredients and technique are there and I am encouraged enough to return at lunch or dinner to see whether the boldness of the flavour palette improves.",,"[""food"", ""anecdotes/miscellaneous""]",,"[""food""]","{""reference"": [""food""], ""sampling-control"": [""food""], ""targeted-2x"": [""food""], ""targeted-3x"": [""food""], ""targeted-4x"": [""food""]}",5,5,3,Overall ... encouraged enough to return,clear model error,Overall scope and return intent explicitly support miscellaneous alongside food.,,False,clear model error,2,provisional assistant judgment
aspect:1457,aspect,aspect_multi_misc,1457,"My wife and I will usually only order one primi and one secondi and split them, as they tend to offer large portions.",,"[""food"", ""anecdotes/miscellaneous""]",,"[""food""]","{""reference"": [""food""], ""sampling-control"": [""food""], ""targeted-2x"": [""food""], ""targeted-3x"": [""food""], ""targeted-4x"": [""food""]}",5,5,3,large portions,ambiguous annotation,"Portions concern food, while habitual ordering is a personal anecdote. The earlier rationale incorrectly required a broader judgment for miscellaneous.",,True,suspected annotation error,2,provisional assistant judgment
aspect:1459,aspect,aspect_multi_misc,1459,"The eggplant parmesan is also great, and my friend who grew up in Manhattan claims that no one serves a better baked ziti with meatsauce.",,"[""food"", ""anecdotes/miscellaneous""]",,"[""food""]","{""reference"": [""food""], ""sampling-control"": [""food""], ""targeted-2x"": [""food""], ""targeted-3x"": [""food""], ""targeted-4x"": [""food""]}",5,5,5,eggplant parmesan ... baked ziti,ambiguous annotation,"The dishes are evaluated, but the friend's personal history may explain the anecdotes label. Food-only is not an established correction.",,True,suspected annotation error,2,provisional assistant judgment
aspect:1546,aspect,aspect_multi_misc,1546,"Maybe I say so because it looked promising for people who like artery-clogging jewish deli food, but turns out to be poorly run and awful.",,"[""food"", ""service"", ""anecdotes/miscellaneous""]",,"[""food""]","{""reference"": [""food""], ""sampling-control"": [""food""], ""targeted-2x"": [""food""], ""targeted-3x"": [""food""], ""targeted-4x"": [""food""]}",5,5,2,poorly run and awful,clear model error,Poorly run supports service and awful supplies a broad negative judgment beyond the food reference.,,False,clear model error,2,provisional assistant judgment
aspect:1659,aspect,aspect_multi_misc,1659,I have never before eaten 40 pieces of relatively good nigiri.,,"[""food"", ""anecdotes/miscellaneous""]",,"[""food""]","{""reference"": [""food""], ""sampling-control"": [""food""], ""targeted-2x"": [""food""], ""targeted-3x"": [""food""], ""targeted-4x"": [""food""]}",5,5,2,40 pieces of relatively good nigiri,ambiguous annotation,Food is evaluated and a novel personal experience is narrated. Whether both categories apply needs annotation guidance.,,True,suspected annotation error,2,provisional assistant judgment
aspect:1954,aspect,aspect_multi_misc,1954,I do suggest to ask to be seated upstairs if you are looking to be a little cozy.,,"[""ambience"", ""anecdotes/miscellaneous""]",,"[""ambience""]","{""reference"": [""ambience""], ""sampling-control"": [""ambience""], ""targeted-2x"": [""ambience""], ""targeted-3x"": [""ambience""], ""targeted-4x"": [""ambience""]}",5,5,3,seated upstairs ... cozy,ambiguous annotation,"This is clearly ambience, while the recommendation may or may not count as a separate overall aspect.",,True,ambiguous annotation,2,provisional assistant judgment
aspect:2018,aspect,aspect_multi_misc,2018,I was pretty much full after our fondue appetizer.,,"[""food"", ""anecdotes/miscellaneous""]",,"[""food""]","{""reference"": [""food""], ""sampling-control"": [""food""], ""targeted-2x"": [""food""], ""targeted-3x"": [""food""], ""targeted-4x"": [""food""]}",5,5,4,full after our fondue appetizer,ambiguous annotation,Satiety concerns food and personal experience; lack of a separate overall judgment does not establish a wrong miscellaneous label.,,True,suspected annotation error,2,provisional assistant judgment
aspect:2028,aspect,aspect_multi_misc,2028,"My friends and I experienced amazing cheese and a delicious, new summer menu at Artisanal last night.",,"[""food"", ""anecdotes/miscellaneous""]",,"[""food""]","{""reference"": [""food""], ""sampling-control"": [""food""], ""targeted-2x"": [""food""], ""targeted-3x"": [""food""], ""targeted-4x"": [""food""]}",5,5,4,amazing cheese and a delicious ... menu,ambiguous annotation,Food praise is embedded in an account of a visit with friends. The boundary of anecdotes/miscellaneous is unresolved.,,True,suspected annotation error,2,provisional assistant judgment
aspect:2080,aspect,aspect_multi_misc,2080,We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.,,"[""service"", ""anecdotes/miscellaneous""]",,"[""service""]","{""reference"": [""service""], ""sampling-control"": [""service""], ""targeted-2x"": [""service""], ""targeted-3x"": [""service""], ""targeted-4x"": [""service""]}",5,5,3,visit from the Manager ... make sure,ambiguous annotation,Manager attentiveness supports service; the narrated encounter might additionally qualify as an anecdote.,,True,suspected annotation error,2,provisional assistant judgment
aspect:7,aspect,aspect_single_misc,7,"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!",,"[""service""]",,"[""service"", ""anecdotes/miscellaneous""]","{""reference"": [""service"", ""anecdotes/miscellaneous""], ""sampling-control"": [""service"", ""anecdotes/miscellaneous""], ""targeted-2x"": [""service"", ""anecdotes/miscellaneous""], ""targeted-3x"": [""service"", ""anecdotes/miscellaneous""], ""targeted-4x"": [""service"", ""anecdotes/miscellaneous""]}",5,5,5,people who work there are evil and incompetent,ambiguous annotation,"Service is explicit, while the opening general approval makes an added miscellaneous reading plausible.",,True,ambiguous annotation,2,provisional assistant judgment
aspect:35,aspect,aspect_single_misc,35,So rude.,,"[""anecdotes/miscellaneous""]",,"[""service""]","{""reference"": [""service""], ""sampling-control"": [""service""], ""targeted-2x"": [""service""], ""targeted-3x"": [""service"", ""anecdotes/miscellaneous""], ""targeted-4x"": [""service""]}",5,5,5,So rude,ambiguous annotation,"Without context, rudeness could refer to service or a general experience.",,True,ambiguous annotation,2,provisional assistant judgment
