id,aspectCategory,gold,predicted,positive_probability,negative_probability,neutral_probability,conflict_probability,text
691,food,conflict,conflict,0.0006569323013536632,0.0020752327982336283,0.0001600936084287241,0.9971078038215637,"The food was pretty good, but a little flavorless and the portions very small, including dessert."
174,service,conflict,negative,0.0013663119170814753,0.9872775673866272,0.0002522655122447759,0.011103923432528973,"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time."
1077,price,conflict,conflict,0.4170111417770386,0.15535610914230347,0.000999158713966608,0.4266335070133209,"A cheap eat for NYC, but not for dosa."
3024,food,conflict,conflict,0.0006595380837097764,0.0005249289679341018,0.00012649920245166868,0.9986889958381653,"The first time the sushi was outstanding, the second time it was a little bland."
2189,service,conflict,neutral,0.00157771329395473,0.0013879057951271534,0.9915346503257751,0.0054997908882796764,"Service is not exactly five star, but thats not really a big deal."
2975,ambience,conflict,conflict,0.029304901137948036,0.014608639292418957,0.00022328323393594474,0.9558631181716919,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm."
3000,anecdotes/miscellaneous,conflict,positive,0.9977157115936279,0.0015660780481994152,6.424337334465235e-05,0.0006539865862578154,Perhaps the last reviewer (who stated she was treated with attitude) lives in a parallel universe because I have never had anything but a perfect experience at Yasuda.
1035,price,conflict,negative,0.0029861985240131617,0.9965978264808655,0.00010405995999462903,0.00031185930129140615,A little overpriced but worth it once you take a bite.
2702,food,conflict,conflict,0.0020425489638000727,0.00011844962136819959,0.00011712838750099763,0.9977218508720398,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared."
811,ambience,conflict,negative,0.0014779497869312763,0.9347061514854431,0.001410018652677536,0.06240592524409294,The place was real empty but that was because this was the first Sunday they ever opened.
1393,food,conflict,positive,0.9997325539588928,9.579626930644736e-05,6.926846253918484e-05,0.00010240144183626398,I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish.
1018,food,conflict,negative,0.009190421551465988,0.8562952876091003,0.1338379979133606,0.0006762605044059455,"sometimes i get bad food and bad service, sometimes i get good good and bad service."
3114,service,conflict,negative,0.0008783225785009563,0.9987509250640869,0.00011020868259947747,0.000260495871771127,"To begin, we were told there was a 30 minute wait and started to leave, when the hostess offered to call us on our cell phone when the table was ready."
59,ambience,conflict,positive,0.999721109867096,9.045336628332734e-05,6.217521877260879e-05,0.00012619592598639429,And even with it's Pub atmosphere they were great to my kids too!
594,ambience,conflict,negative,0.0056688846088945866,0.705664336681366,0.0016346111660823226,0.28703221678733826,"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying."
3354,anecdotes/miscellaneous,conflict,conflict,0.00047947801067493856,0.0002443838748149574,0.00021965379710309207,0.9990565180778503,"It was good, but was not what I thought it would be."
2366,food,conflict,positive,0.9632778763771057,0.012196078896522522,0.0234992615878582,0.0010268643964082003,One of us actually liked the expresso - that's it.
