id,text,aspectCategory,polarity
1571,It is very overpriced and not very tasty.,food,negative
1571,It is very overpriced and not very tasty.,price,negative
3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",food,positive
3195,He has visited Thailand and is quite expert on the cuisine.,food,positive
2227,My suggestion is to eat family style because you'll want to try the other dishes.,food,neutral
1210,This isn't a value joint.,price,negative
2191,Faan's got a great concept but a little rough on the delivery.,anecdotes/miscellaneous,positive
2191,Faan's got a great concept but a little rough on the delivery.,service,negative
391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",anecdotes/miscellaneous,neutral
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,food,positive
1623,The wine list is excellent.,food,positive
2960,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,food,positive
1383,I also ordered for delivery and the restaurant forgot half the order.,service,negative
2936,The strong scents coming from the left and right of me negatively affected my taste buds.,anecdotes/miscellaneous,negative
3423,We had the lobster sandwich and it was FANTASTIC.,food,positive
856,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",food,positive
1798,The last time I went we were seated at a table in a corridor next to the kitchen.,anecdotes/miscellaneous,negative
2921,Not impressed with the food.,food,negative
3130,The food was bland oily.,food,negative
709,"What is even better, is that the prices are very affordable as well, and the food is really good.",food,positive
709,"What is even better, is that the prices are very affordable as well, and the food is really good.",price,positive
1198,The fish is fresh but the variety of fish is nothing out of ordinary.,food,conflict
1110,"And Kruno, the beverage manager is the best bartender I have yet to come across.",service,positive
231,I went there in late afternoon for some bite size food and refleshment with my date.,anecdotes/miscellaneous,neutral
1166,"I am completely hooked on this place, it is ridiculous.",anecdotes/miscellaneous,positive
3686,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",anecdotes/miscellaneous,negative
3686,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",ambience,positive
2139,We will return many times for this oasis in mid-town.,anecdotes/miscellaneous,positive
1881,Enjoy!,anecdotes/miscellaneous,positive
1408,It's a rather cramped and busy restaurant and it closes early.,ambience,negative
141,This dish is my favorite and I always get it when I go there and never get tired of it.,food,positive
2098,Okay service.,service,neutral
701,Planet Thai is great!,anecdotes/miscellaneous,positive
1976,Finally!,anecdotes/miscellaneous,positive
1278,The pizza is good though.,food,positive
624,You will not be disapointed at all.,anecdotes/miscellaneous,positive
34,"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",anecdotes/miscellaneous,negative
1674,"Went there last night for 2 year anniversery, and wasn't all that impressed.",anecdotes/miscellaneous,negative
332,At first I was slightly skeptical because it was a sushi restaurant in the middle of NYC.,anecdotes/miscellaneous,neutral
247,Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there.,anecdotes/miscellaneous,neutral
247,Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there.,food,positive
3477,Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,ambience,positive
